"Ensembl","GeneName","GSM776959","GSM776960","GSM776961","GSM776962","GSM776963","GSM776964","GSM776965","GSM776966","GSM776971","GSM776972","GSM776973","GSM776974"
"ENSG00000225422","RBMS1P1","795","798","1018.4","1303.4","1722.3","2855.5","4534.1","1680.9","3859.6","3850.6","4654.3","2128.4"
"ENSG00000131759","RARA","80.2","143.3","49.2","72.6","60.6","72.4","85.6","60.3","78.5","117.9","182.6","137.9"
"ENSG00000130522","JUND","4.6","26.2","7.5","3.1","10.8","2.5","5.9","15.5","2.4","2.9","67","5.2"
"ENSG00000196628","TCF4","1452.4","1130.7","2418.9","4209.5","844.4","1422.8","1006.3","803.3","2915.3","3154","2170.6","902.3"
"ENSG00000185024","BRF1","33.1","49","20.4","26.5","17.5","4.5","50.7","14.2","69.8","46.3","13.1","70.4"
"ENSG00000156970","BUB1B","2143.6","1653.6","942.9","399.2","557.9","705.2","437.3","680.4","53.2","209.4","122.5","534.2"
"ENSG00000110237","ARHGEF17","142","138","114.8","159.4","180.2","51","291.7","166.1","156.3","243.6","154.4","413.7"
"ENSG00000086548","CEACAM6","7.5","6.6","14.2","26.1","18.1","2.4","40.6","12.4","1.5","1.7","10.1","17.8"
"ENSG00000263238","CTSO","1037.2","802.9","1193.6","1538.9","1316.1","1276.9","773.5","1363","2239.8","2260.6","1086.4","1011.1"
"ENSG00000256043","CTSO","1037.2","802.9","1193.6","1538.9","1316.1","1276.9","773.5","1363","2239.8","2260.6","1086.4","1011.1"
"ENSG00000110080","ST3GAL4","95.5","98.6","188.5","249.4","113.5","97.4","172.2","113.6","121.5","104.4","138.3","118.4"
"ENSG00000155926","SLA","11.8","51.8","143","169.1","12.1","4.6","6.8","6.5","58.6","22.4","7.8","3"
"ENSG00000138036","DYNC2LI1","363.6","197.1","370.4","496.3","210.8","396.3","255.1","256.3","235","226","213.4","151.6"
"ENSG00000126787","DLGAP5","1195.5","1014.4","611.7","61.1","376.2","793.1","323.8","522","0.9","119.8","138.5","433.9"
"ENSG00000115271","GCA","347.4","199.6","303","353.8","100.9","96.3","99.5","146.4","96.3","98","137.9","126.3"
"ENSG00000163431","LMOD1","71.4","71.2","28.6","383.6","787.6","607","1713.4","304.5","60","214.5","1036.7","1527.5"
"ENSG00000101846","STS","465.2","173","1235.2","2297.7","332.2","470.6","386.3","181.2","125.7","127.3","212.7","155.1"
"ENSG00000106605","BLVRA","132.2","53.8","223.6","204.5","283.7","234","217.1","318.4","111.5","119.5","113","187.4"
"ENSG00000116984","MTR","1044.4","670.3","1157.9","1102.5","1148.9","1252.4","786.2","1146.4","1201.7","922.8","695.3","839.8"
"ENSG00000004864","SLC25A13","887.2","681.4","508.7","259.2","385.7","500.4","283.3","398.5","367","367.9","146.1","459"
"ENSG00000068394","GPKOW","514.5","585.4","505.3","730.6","823.9","915.8","929.2","940","889.9","968.2","859.5","843.3"
"ENSG00000175634","RPS6KB2","74.6","161.4","94.8","105","202","183.6","135.2","206.2","134.9","206.1","279.4","249.6"
"ENSG00000109323","MANBA","222.2","208.1","288.3","312.4","442.3","474.7","573.5","355.4","566.8","505.4","311.3","367.3"
"ENSG00000149573","MPZL2","86.9","43.8","3.5","4.1","5.8","6.8","4.6","19.5","2","1.9","3.2","22.5"
"ENSG00000243147","MRPL33","974.3","869.2","1522.7","1527.6","522.7","1713.5","949.6","773","1155.5","824.2","1827.2","982.4"
"ENSG00000099821","POLRMT","192.3","275.4","258","313.8","143.8","194","451.2","120.6","252.9","311.8","265.2","284.7"
"ENSG00000266066","POLRMTP1","69.1","7.3","17.9","3.3","13.7","20.1","20.2","20.1","3.1","23.6","35.5","8.5"
"ENSG00000182810","DDX28","6.2","11.2","1.6","23.1","3.2","3","1.6","23.9","2.2","2.8","2.3","23.9"
"ENSG00000111907","TPD52L1","1351.4","3184.9","663.5","565.5","540.5","719.9","780.8","435.7","156.7","345.2","382.2","1170"
"ENSG00000145687","SSBP2","1209.1","1337.8","1023.7","1633","1423.4","1345","1096","1067.7","2042.3","1251.4","1285.8","946.3"
"ENSG00000075223","SEMA3C","97","97.3","57.6","32.4","83.8","74","67.9","52.7","19.2","45.4","54.8","53.8"
"ENSG00000132541","RIDA","865.9","1854","764.8","60.9","401.4","724.4","747.3","355.1","489.1","612.8","419.6","513.6"
"ENSG00000172869","DMXL1","1879.2","1007.7","1926.8","1319.2","857.4","1089.2","858.6","900.1","616.4","388.8","471.5","902"
"ENSG00000277258","PCGF2","16.9","112.7","56.4","21.8","52.9","66.4","149.5","46.4","15.1","105.7","94.8","76.7"
"ENSG00000278644","PCGF2","16.9","112.7","56.4","21.8","52.9","66.4","149.5","46.4","15.1","105.7","94.8","76.7"
"ENSG00000143776","CDC42BPA","416.8","218","408.1","516.1","629.9","875.9","661.3","296.2","428.9","582.3","500.9","742.5"
"ENSG00000282873","BCL7A","126","125.2","33.3","21.4","47","12.2","89.4","31.4","44.9","41.8","43.2","73.4"
"ENSG00000110987","BCL7A","126","125.2","33.3","21.4","47","12.2","89.4","31.4","44.9","41.8","43.2","73.4"
"ENSG00000163032","VSNL1","2425.4","1879","595.5","134","56.9","24.5","41.7","61.7","24.7","75.3","75.5","41.4"
"ENSG00000241399","CD302","1064.9","689.6","2733.8","2544.1","1019.7","1347","1031.4","696.1","2582.9","1255.2","1882.1","761.3"
"ENSG00000120333","MRPS14","1028.3","2100.2","1214.7","896","1874","1476","1411.1","1443.2","981.4","1964.1","1281.4","2033.5"
"ENSG00000106133","NSUN5P2","592.9","768.6","456.2","393.6","424.4","470.4","341.2","387.7","376.9","414.4","368.3","625.3"
"ENSG00000223705","NSUN5P1","592.9","768.6","456.2","393.6","424.4","470.4","341.2","387.7","376.9","414.4","368.3","625.3"
"ENSG00000130305","NSUN5","592.9","768.6","456.2","393.6","424.4","470.4","341.2","387.7","376.9","414.4","368.3","625.3"
"ENSG00000116005","PCYOX1","422.7","239.8","597.5","601","573.5","496.1","474.6","531.2","490.4","695.4","381.3","597.5"
"ENSG00000108848","LUC7L3","4540.3","2916.9","3385.3","3377.6","2382.5","2928.6","1381","2403.2","2836.9","1667.9","2412.3","2080.2"
"ENSG00000187741","FANCA","134.4","158.3","87.8","5.6","106.8","90.9","55.2","85.9","6.5","3","9.4","72"
"ENSG00000105221","AKT2","89.1","5.5","1.8","32","7.6","4.1","29.8","7.5","33","3.9","12.5","58.6"
"ENSG00000162616","DNAJB4","479.6","376.1","405.3","360.8","1317.2","748.6","1004.5","2144.2","748.7","855.2","957.2","1638.1"
"ENSG00000184347","SLIT3","429.7","356.5","363.3","600.4","637.3","324.3","1058.7","472.8","663.5","207.3","1007.9","525.1"
"ENSG00000124588","NQO2","327.7","651.9","991.1","1412.5","824.5","1586.1","1415.9","1422.6","1585.1","1318.1","1299.2","1483.8"
"ENSG00000277656","GSTT1","151.6","263.7","206.2","665.8","171.5","205.1","141","314.8","844.7","205.8","1031.9","213.2"
"ENSG00000114956","DGUOK","148","361.8","279","308","228.4","316.3","256.6","170","260.6","166","290","202"
"ENSG00000061918","GUCY1B1","890.5","489.3","707.4","683.3","800.1","813.8","695.3","497.1","846.8","695.9","540","589.2"
"ENSG00000183431","SF3A3","631.1","531.8","574.3","871.9","574.6","415.4","401.9","494","442.5","427","733","475.3"
